,Algorithm,TSPA,TSPB,TSPC,TSPD
0,Greedy-edges-Random,7.682 (6.255 - 9.005),7.989 (6.794 - 9.754),7.739 (6.556 - 9.202),6.699 (4.754 - 12.083)
1,Greedy-edges-GreedyHeuristic,0.269 (0.073 - 0.655),0.418 (0.202 - 0.92),0.315 (0.069 - 0.831),0.366 (0.102 - 0.995)
2,Greedy-nodes-Random,4.005 (3.243 - 5.092),4.126 (3.348 - 5.451),3.946 (3.129 - 5.034),4.469 (3.086 - 9.898)
3,Greedy-nodes-GreedyHeuristic,0.243 (0.082 - 0.802),0.291 (0.145 - 0.581),0.242 (0.073 - 0.663),0.284 (0.083 - 0.765)
4,Steepest-edges-GreedyHeuristic,0.538 (0.073 - 1.405),0.883 (0.337 - 1.591),0.648 (0.065 - 1.511),0.73 (0.133 - 2.109)
5,Steepest-nodes-Random,14.777 (11.815 - 18.468),14.972 (12.168 - 18.308),14.376 (11.243 - 18.885),14.716 (11.481 - 19.12)
6,Steepest-nodes-GreedyHeuristic,0.335 (0.074 - 1.124),0.669 (0.345 - 1.219),0.578 (0.077 - 1.63),0.628 (0.145 - 1.347)
,
7,Steepest-CandidateMovesEdges-Random,1.448 (1.205 - 2.451),1.476 (1.217 - 1.761),1.437 (1.203 - 1.788),1.364 (1.078 - 2.015)
8,Steepest-PreviousDeltas-Random,6.517 (5.292 - 7.677),6.523 (5.425 - 8.05),6.448 (5.265 - 7.948),6.485 (5.131 - 7.811)
,
9,Steepest-edges-Random,12.176 (10.589 - 14.762),12.516 (11.009 - 14.349),11.872 (10.033 - 13.814),12.583 (10.98 - 14.19)
,
10,MSLS,1263.926 (1233.821 - 1307.715),1310.493 (1272.85 - 1428.453),1266.808 (1237.736 - 1355.937),1268.967 (1237.212 - 1352.452)
11,ILS,1264.199 (1264.006 - 1264.605),1310.183 (1310.003 - 1310.458),1267.235 (1267.003 - 1267.694),1269.149 (1269.014 - 1269.642)
12,LSNS_LS,1264.387 (1264.004 - 1265.019),1310.405 (1310.04 - 1311.135),1267.534 (1267.005 - 1268.495),1269.503 (1269.084 - 1269.988)
13,LSNS_noLS,1264.393 (1264.003 - 1265.225),1310.348 (1310.034 - 1310.92),1267.366 (1267.01 - 1267.841),1269.263 (1269.032 - 1269.794)
,
14,Evol_oper1_LS,1264.138 (1264.006 - 1264.420),1310.080 (1310.002 - 1310.302),1267.112 (1267.023 - 1267.417),1269.086 (1269.021 - 1269.267)
15,Evol_oper1_noLS,1264.0 (1264.0 - 1264.0),1310.0(1310.0 - 1310.0),1267.0 (1267.0- 1267.0),1269.0 (1269.0 - 1269.0)
16,Evol_oper2_LS,1264.091 (1264.010 - 1264.237),1310.105(1310.0 - 1310.314),1267.102 (1267.0 - 1267.440),1269.137 (1269.024 - 1269.431)
17,Evol_oper2_noLS,1264.073 (1264.003 - 1264.203),1310.054(1310.005- 1310.170),1267.059 (1267.000 - 1267.161),1269.074 (1269.0 - 1269.244)
