,Algorithm,TSPA,TSPB,TSPC,TSPD
0,RandomSearch, 264715.690 (234787.0 – 289096.0), 265095.315 (238995.0 – 287788.0),214163.21 (192811.0 – 232188.0),217922.530 (195986.0 – 246928.0)
1,NearestNeighbor,86319.43 (83561.0 - 93749.0),77688.285 (75928.0 – 79791.0),56709.06 (53466.0 – 60369.0),52472.030 (48240.0 – 57939.0)
2,GreedyCycle,78049.310 (75990.0 – 81934.0),71717.795 (68973.0 – 78237.0),56404.07 (53723.0 – 58868.0),55334.72 (50717.0 – 61896.0)
3,Greedy2Regret,117178.570 (110218.0 -124855.0 ),121592.715 (111115.0 – 131138.0),69547.98 (66114.0 – 73603.0),71900.575 (66024.0 – 76887.0)
4,Greedy2RegretWeighted,75953.435 (74701.0 – 78510.0),71428.365 (69147.0 – 77017.0),54217.24 (51747.0 – 58087.0),52285.360 (47629.0 – 57787.0)
,
5,Greedy-edges-Random,77965.71 (75112.0 - 82142.0),71018.74 (68315.0 - 74769.0),51652.62 (49206.0 - 54174.0),48705.455 (45913.0 - 51873.0)
6,Greedy-edges-GreedyHeuristic,75438.075 (74521.0 - 77298.0),70388.815 (67808.0 - 76131.0),53714.495 (51034.0 - 56971.0),51525.635 (47281.0 - 57524.0)
7,Greedy-nodes-Random,90554.405 (83565.0 - 100644.0),85537.285 (77218.0 - 93542.0),63718.49 (56594.0 - 71397.0),61963.345 (54964.0 - 69495.0)
8,Greedy-nodes-GreedyHeuristic,75512.725 (74521.0 - 77471.0),70688.61 (68572.0 - 76529.0),53967.21 (51195.0 - 56739.0),51145.425 (47368.0 - 57605.0)
9,Steepest-edges-GreedyHeuristic,75391.6 (74541.0 - 77063.0),70215.965 (68122.0 - 75907.0),53529.02 (50972.0 - 57024.0),51093.845 (46915.0 - 57412.0)
10,Steepest-nodes-Random,93224.675 (84578.0 - 101323.0),88096.545 (80827.0 - 96390.0),65743.78 (58924.0 - 77555.0),64443.6 (55944.0 - 78053.0)
11,Steepest-nodes-GreedyHeuristic,75606.625 (74630.0 - 76953.0),70758.4 (68572.0 - 76545.0),53807.135 (51203.0 - 57026.0),51203.305 (46990.0 - 55945.0)
,
12,Steepest-edges-Random,78307.45 (75390.0 - 83932.0),71637.29 (68186.0 - 77703.0),51692.4 (49183.0 - 54617.0),48647.455 (46150.0 - 51579.0)
13,Steepest-CandidateMovesEdges-Random,80856.86 (76709.0 - 85935.0),73804.335 (69986.0 - 80091.0),51680.02 (49141.0 - 54538.0),48294.905 (45672.0 - 52381.0)
14,Steepest-PreviousDeltas-Random,79913.365 (76798.0 - 87582.0),73141.7 (68884.0 - 78988.0),53064.8 (49346.0 - 57601.0),49794.255 (46581.0 - 55387.0)
