,Algorithm,TSPA,TSPB,TSPC,TSPD
0,Greedy-edges-Random,7.682 (6.255 - 9.005),7.989 (6.794 - 9.754),7.739 (6.556 - 9.202),6.699 (4.754 - 12.083)
1,Greedy-edges-GreedyHeuristic,0.269 (0.073 - 0.655),0.418 (0.202 - 0.92),0.315 (0.069 - 0.831),0.366 (0.102 - 0.995)
2,Greedy-nodes-Random,4.005 (3.243 - 5.092),4.126 (3.348 - 5.451),3.946 (3.129 - 5.034),4.469 (3.086 - 9.898)
3,Greedy-nodes-GreedyHeuristic,0.243 (0.082 - 0.802),0.291 (0.145 - 0.581),0.242 (0.073 - 0.663),0.284 (0.083 - 0.765)
4,Steepest-edges-GreedyHeuristic,0.538 (0.073 - 1.405),0.883 (0.337 - 1.591),0.648 (0.065 - 1.511),0.73 (0.133 - 2.109)
5,Steepest-nodes-Random,14.777 (11.815 - 18.468),14.972 (12.168 - 18.308),14.376 (11.243 - 18.885),14.716 (11.481 - 19.12)
6,Steepest-nodes-GreedyHeuristic,0.335 (0.074 - 1.124),0.669 (0.345 - 1.219),0.578 (0.077 - 1.63),0.628 (0.145 - 1.347)
,
7,Steepest-edges-Random,12.176 (10.589 - 14.762),12.516 (11.009 - 14.349),11.872 (10.033 - 13.814),12.583 (10.98 - 14.19)
8,Steepest-CandidateMovesEdges-Random,1.448 (1.205 - 2.451),1.476 (1.217 - 1.761),1.437 (1.203 - 1.788),1.364 (1.078 - 2.015)
9,Steepest-PreviousDeltas-Random,6.517 (5.292 - 7.677),6.523 (5.425 - 8.05),6.448 (5.265 - 7.948),6.485 (5.131 - 7.811)
